Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b1023	0	0	0.505	0.255
b1029	2.04	2.3375	2.605	3.0725
b1030	0.9625	0.5925	0.31	9.455
b1031	0.97	0.325	0.315	6.39
b1033	1.1175	1.605	1.205	1.0075
b1034	1.5925	2.0225	1.945	1.435
b1035	1.7525	1.8825	1.83	1.6375
b1036	1.995	2.47	2.335	1.29
b1037	0.4975	0.3625	0.34	0.375
b1038	0.27	0.1275	0.005	0.08
b1039	0.245	0.055	0.125	0.155
b1040	0.3325	0.1175	0.15	0.2475
b1041	0.6425	0.545	0.215	0.2275
b1042	0.6325	0.65	0.41	0.4125
b1043	1.4675	0.6475	0.425	0.4625
b1044	1.39	0.185	0	0.61
b1045	0.57	0.7225	0.42	0.535
b1046	0.925	0.775	0.645	1.89
b1050	1.5825	1.8025	1.805	1.8325
b1051	0.29	0.28	0.28	0.33
b1053	1.9775	2.5375	2.175	1.5025
b1054	1.575	2.0775	1.425	1.15
b1055	2.6425	2.545	1.965	1.955
b1056	1.5075	1.4175	1.47	1.29
b1057	1.1575	1.01	0.9	0.9725
b1059	0.86	0.8275	0.71	0.88
b1060	0.56	0.645	0.555	0.595
b1061	1.5575	1.89	2.215	1.77
b1062	2.0275	2.8575	2.455	1.4025
b1063	1.7625	1.71	2.96	1.7675
b1067	0.9975	1.035	1.325	1.3525
b1068	0.78	0.81	0.885	0.8475
b1069	1.98	1.39	2.085	2.735
b1070	1.6975	1.155	0.855	0.795
b1071	1.06	1.2175	0.65	0.3925
b1072	1.11	0.8125	0.28	0.3275
b1073	0.8125	0.3675	0.15	0.24
b1074	0.89	0.525	0.14	0.145
b1075	1.065	0.61	0.25	0.2075
b1076	1.085	0.705	0.195	0.16
b1077	1.23	0.7325	0.28	0.21
b1078	1.1575	0.79	0.26	0.235
b1079	1.4575	1.035	0.44	0.3675
b1080	1.0925	0.6	0.275	0.255
b1081	1.6575	0.9525	0.005	0.29
b1082	0.8725	1.0925	0.815	0.3475
b1083	1.025	0.6925	0.675	0.5075
b1084	1.2175	0.965	1.22	1.45
b1085	1.4825	2.1925	1.81	1.755
b1086	1.77	2.4225	2.42	1.645
b1087	0.705	0.7175	0.61	0.8775
b1088	1.2775	2.0525	1.425	1.7475
b1089	1.385	1.57	1.665	1.72
b1090	1.4025	2.3025	1.765	1.4575
b1091	1.345	1.9425	1.54	1.49
b1092	1.0425	1.575	1.155	1.175
b1093	0.775	0.9475	0.895	0.775
b1094	1	1.0825	1.185	1.13
b1095	1.17	1.215	1.505	1.335
b1098	1.175	1.4225	1.355	1.155
b1099	0.9725	1.0375	1.1	0.9325
b1100	0.2775	0.27	0.3	0.305
b1101	0.25	0.255	0.35	0.5325
b1102	1.26	1.365	1.265	1.625
b1103	0.56	0.54	0.44	0.595
b1104	0.62	0.715	0.54	0.6
b1105	0.565	0.4475	0.435	0.495
b1106	1.0675	1.295	1.25	1.0825
b1107	0.835	0.8275	0.815	0.715
b1108	0.7125	0.8475	0.81	0.71
b1109	2.1425	1.9175	1.985	1.8425
b1110	1.07	0.92	1.095	1.91
b1111	1.755	1.795	1.935	1.2225
b1112	16.36	24.9825	24.7	4.9575
b1113	0.8975	1.1525	0.975	0.8025
b1114	1.195	1.3	1.46	1.9075
b1115	0.6425	0.4275	0	0.18
b1116	1.675	2.08	2.4	2.3725
b1117	1.6725	1.38	1.555	2.0875
b1118	0.79	0.8275	0.905	1.13
b1119	1.085	1.1275	1.275	0.9325
b1120	0.9225	1.165	1.205	1.215
b1121	1.695	1.205	1.52	3.98
b1122	2.32	1.8225	1.385	5.3825
b1123	1.5075	1.35	1.4	2.135
b2670	1.8325	2.495	2.045	0.915
b2676	1.11	0.425	0.61	1.82
b2677	5.055	5.7825	4.495	4.065
b2678	7.2475	6.485	7.745	5.7175
b2679	3.7325	5.445	3.89	3.32
b2681	0.8575	1.1625	0.8	0.4825
b2681	0.92	0.5575	0.02	0.72
b2682	1.5	1.385	1.45	1.495
b2683	1.3625	1.2825	1.645	1.795
b2684	1.4325	1.605	1.495	1.0425
b2685	1.7	2.85	2.685	1.455
b2686	2.09	2.715	3.55	2.32
b2687	0.6075	0.78	0.725	0.8
b2688	1.12	0.845	1.01	1.13
b2689	1.18	1.4525	1.555	1.155
b2690	1.29	1.1625	1.205	1.4925
b2696	0.695	0.4625	0.81	1.21
b2697	1.05	1.2875	1.28	1.425
b2698	1.575	1.7675	2.29	2.465
b2699	1.3625	1.57	1.87	1.555
b2700	0.685	0.915	0.885	0.855
b2701	0.935	1.4325	1.28	0.8425
b2702	0.245	0.055	0.03	0.0475
b2703	0.575	0.0125	0.005	0.115
b2704	1.005	0.325	0.06	0.1975
b2705	1.0625	0.33	0.28	0.5
b2706	0	0	0	0
b2707	0.3375	0.4225	0.485	0.4625
b2708	0.3925	0.5175	0.46	0.4825
b2709	1.6325	1.765	1.83	0.9425
b2710	1.41	1.74	1.89	1.59
b2711	1.285	0.685	0.45	0.72
b2712	0.975	1.22	1.18	1.0275
b2713	0.8	0.6625	0.845	0.9
b2714	0.7925	0.7925	1.045	1.0975
b2715	0.9825	0.665	1.015	1.1775
b2716	1.0375	1.5575	1.18	0.9825
b2717	0.855	1.03	1.05	1.065
b2718	0.9875	1.095	1.075	1.1375
b2719	1.2875	1.4775	0.655	0.7325
b2720	0.2575	0	0	0.265
b2721	0.275	1.435	0.21	0
b2722	1.045	0	0	0.54
b2723	0.5675	0.0025	0	0.3175
b2724	0.8425	0.315	1.11	0
b2725	0.36	0	0	0.6325
b2726	1.24	0.7925	0.61	0.7775
b2727	0.9625	1.8575	0.615	0.5775
b2731	0.24	0.2025	0.195	0.2775
b2732	1.2925	1.55	1.595	1.71
b2733	1.0575	1.235	1.175	0.945
b2734	1.47	2.195	2.165	1.395
b2735	0.74	1.05	0.975	0.9775
b2736	0.5125	0.2925	0.19	0.31
b2737	0.97	0.775	0.45	0.71
b2738	1.17	1.96	1.22	1.06
b2739	0.7175	0.595	0	0.685
b2740	0.995	0.7675	1.2	1.54
b2741	0.5225	0.42	0.485	0.375
b2742	0.485	1.05	0.44	0.37
b2743	0.8175	1.1275	1.115	0.92
b2744	0.855	0.7775	0.72	0.8775
b2745	0.995	1.2	1.34	1.27
b2746	1.38	2.4375	1.87	1.4075
b2747	1.2925	1.6	1.345	1.37
b2748	1.0025	1.275	1.05	0.91
b2749	2.135	2.11	3.25	2.2425
b2750	2.9875	4.2375	4.785	4.5975
b2751	3.18	3.15	3.8	2.325
b2752	3.93	3.815	5.69	2.74
b2753	1.3525	1.735	1.205	1.3775
b2754	1.155	1.79	1.425	1.415
b2755	1.07	1.105	0.885	0.8675
b2756	1.4525	1.5475	1.66	1.87
b2757	1.07	1.4275	1.39	1.0075
b2758	1.0475	0.5475	0.925	1.3575
b2764	2.88	4.14	3.975	2.235
b2765	3.47	5.845	5.235	2.77
b2766	0.53	0.4425	0.3	0.59
b2767	0.5575	0.72	0.68	0.415
b2768	0.955	1.2825	1.04	1.0475
b2769	1.1	1.5125	1.81	1.1625
b2770	1.3325	2.6525	1.61	1.335
b2771	0.7025	0.0025	0	0.2975
b4463	0.745	0.83	0.535	0.6625
b2773	1.065	1.2775	1.765	1.145
b2774	0.2475	0.2275	0.165	0.4075
b2775	0.06	0	0	0.2425
b2776	0.99	0.94	1	1.245
b2777	1.65	2.1	1.9	1.7825
b2778	0.7125	0.8725	1	1.5325
b2779	2.155	1.8575	1.785	1.9175
b2780	1.4475	1.6175	1.24	0.565
b2781	1.55	1.715	1.845	1.5325
b2782	1.32	1.5975	1.92	1.6475
b2783	0.79	0.9775	1.05	1.1925
b2784	0.8925	0.8475	0.885	0.865
b2785	0.51	0.6125	0.565	0.5525
b2786	1.695	1.9925	2.22	2.33
b2787	0.98	0.5975	1.105	0.74
b2788	1.095	1.5975	1.325	0.845
b2789	0	0.0025	0	0
b2790	0.655	0.5725	0.585	0.6575
b2791	1.57	2.015	1.785	2.0175
b0092	1.0025	1.215	1.155	1.2675
b0093	0.8925	0.885	0.905	1.0025
b0094	0.75	0.7475	0.775	0.925
b0095	0.775	1.0675	0.74	0.7675
b0096	1.285	1.0825	1.03	0.825
b0097	0.9175	1.0225	1.02	1.04
b0098	1.0275	0.9675	1.345	1.6125
b0099	1.86	2.54	2.755	1.9475
b0101	1.1025	1.0125	1.05	1.2275
