Locus	5_MIN_AVG	15_MIN_AVG	30_MIN_AVG	60_MIN_AVG
b1205	0.0375	0.0375	0.045	0.0825
b1206	2.0675	2.225	2.69	1.4975
b1207	1.72	3.5075	1.745	0.9425
b1208	1.1875	1.5325	1.29	0.9775
b1209	1.2625	1.6375	1.48	1.05
b1210	1.625	1.88	1.805	1.4325
b1211	1.55	1.715	1.71	1.5075
b1212	1.675	1.645	1.965	1.9075
b1213	1.8225	2.51	2.28	1.775
b1214	1.2575	1.33	1.39	1.365
b1215	1.4925	2.1425	1.955	1.98
b1216	1.8025	1.765	1.265	1.9425
b1217	0.4825	0.5225	0.375	0.4925
b1218	1.1825	1.0425	1.26	1.245
b1219	0.485	0.4025	0.355	0.38
b1220	1.41	1.425	1.555	1.5675
b1221	1.05	1.62	0.955	0.81
b1222	1.2375	1.6075	1.625	1.035
b1223	1.4475	0.955	0.92	1.035
b1224	1.2125	2.9625	1.63	1.1725
b1225	0.955	1.235	1.01	0.7425
b1226	1.1225	1.5875	1.095	1.0075
b1227	0.885	0.87	1.155	0.75
b1228	1.6725	2.075	2.25	1.6375
b1232	2.6825	3.0425	4.255	2.425
b1233	1.475	1.535	1.495	1.6575
b1234	0.6375	0.5675	0.575	0.565
b1235	0.5925	0.4125	0.435	0.8575
b1236	0.8575	0.7275	0.84	0.935
b1237	0.8175	0.475	0.49	0.5225
b1238	1.74	1.35	1.42	2.1375
b4573	1.495	2.0075	1.905	1.9075
b4573	1.395	2.015	2.095	0.9475
b1241	0.925	0.275	0.35	0.735
b1242	2.645	1.9675	2.1	1.59
b1243	0.9825	1.6	2.455	1.0375
b1244	2.1725	2.8075	3.515	1.8075
b1245	1.9725	3.1025	3.555	1.375
b1246	1.6575	2.8225	3.615	1.67
b1247	1.37	2.5775	3.605	1.8975
b1248	1.1125	1.7525	2.1	1.91
b1249	1.0925	0.955	1.135	1.0225
b1250	1.15	1.1325	1.31	1.615
b1251	0.96	0.6225	0.82	1.01
b1252	0.76	0.71	0.635	1.0725
b1253	1.4625	1.565	1.78	3.005
b1254	1.1225	1.035	1.23	1.125
b1255	1.0525	1.1	1.05	0.925
b1256	0.2975	0.1525	0.165	0.23
b1257	0.93	0.5525	0.5	1.02
b1258	0.9525	1.4375	0.725	0.6525
b1259	0.725	0.3775	0.19	0.465
b1260	1.0825	0.905	0.915	2.54
b3461	0.7075	0.8375	0.7	0.735
b3462	1.1	1.0725	1.345	1.755
b3463	1.105	1.105	1.31	1.5425
b3464	1.2575	1.78	1.525	1.1425
b3465	1.095	1.9125	1.285	1.415
b3466	1.41	1.5975	2.325	2.2875
b3467	1.3575	1.1225	1.395	2.175
b3468	1.1875	0.835	0.835	0.91
b3469	1.525	1.97	3.025	2.355
b3470	2.0125	1.885	1.94	1.6675
b3471	2.8175	3.89	2.79	1.995
b3472	0.9675	1.555	1.18	1.4525
b3473	2.0975	2.2825	3.725	2.5975
b3474	0.45	0.4625	0.585	0.815
b3475	0.875	1.455	0.785	1.05
b3476	0.165	0	0	0.4175
b3477	1.3175	2.055	1.515	1.2375
b3478	0.7325	0.24	0.855	0.4225
b3479	1.05	1.0825	1.035	1.4975
b3480	0.9625	0.645	0.69	1.65
b3481	1.215	1.255	1.18	1.165
b3482	1.925	2.2375	2.485	3.005
b3483	1.7625	1.7375	2.455	2.87
b3484	1.365	1.97	1.77	1.645
b3485	1.81	1.3125	1.505	1.0675
b3486	1.4175	1.155	1.185	1.145
b3487	1.225	1.1375	1.165	1.1175
b3488	0.8025	0.6175	0.935	1.045
b3489	0.8125	0	0	0.6875
b3490	0	0	0	0
b3491	0.66	0.49	0.625	0.4875
b3492	1.1275	1.49	1.4	1.2325
b3493	1.96	1.7575	1.605	1.925
b3494	0.24	0.2375	0.27	0.375
b3495	0.7875	0.4775	0.615	0.6525
b3496	0.295	0.2375	0.34	0.5725
b3497	0.735	0.6175	0.875	1.365
b3498	0.6075	0.655	0.76	0.8525
b3499	1.48	2.0625	1.545	1.2675
b3500	1.19	2.1225	1.82	1.4875
b3501	2.005	1.7475	2.3	2.45
b3502	1.0075	0.745	0.825	1.035
b3503	0.5425	0.49	0.55	0.6425
b3504	1.09	0	0.545	0.77
b3506	0.8425	0.7025	0.685	0.52
b3507	0	0	0	0
b3508	1.14	1.8825	1.335	0.89
b3509	0.4925	0.1875	0.12	0.3575
b3510	0.615	0.2325	0.245	0.315
b3511	0.3675	0.2025	0.2	0.335
b3512	0.32	0.145	0.005	0.2825
b3513	0.705	0.6025	0.48	0.74
b3514	0.645	0.42	0.28	0.7
b3515	0.5425	0.365	0.485	0.975
b3516	0.45	0.36	0.47	1
b3517	0.2025	0.07	0.04	0.105
b3518	1.5025	1.4875	1.48	1.65
b3519	1.0975	1	1.085	1.5825
b3520	0.88	0.8675	0.74	0.9975
b3521	1.47	1.3725	1.82	1.61
b3522	0.535	0.4725	0.59	0.63
b3523	0.8625	0.6225	1.01	1.4675
b3524	0.5	0.1875	0.14	0.4125
b3525	0.7675	1.3525	1.51	0.5725
b3526	0.765	0.89	0.93	1.2025
b3527	0.9375	0.8	1.055	1.3475
b3528	0.1	0.0575	0.055	0.07
b3529	1.5425	4.17	1.19	1.365
b3530	0.2875	0.2275	0.3	0.4425
b3531	1.25	0.42	0.495	0.7675
b3532	1.445	1.4525	1.54	1.165
b3533	1.34	1.185	1.165	1.615
b3534	0.7075	0.5075	0.585	0.78
b3535	0.385	0.3125	0.38	0.62
b3536	0.5075	0.4	0.445	0.505
b3537	0.435	0.305	0.31	0.4525
b3538	0.6375	0.3475	0.395	0.48
b3539	1.3225	1.025	1.3	1.5125
b3540	1.19	0.7175	1.23	1.395
b3541	0.8525	0.5675	0.915	1.0825
b3542	1.135	0.95	1.535	1.0625
b3543	1.075	0.86	1.505	1.065
b3544	0.6525	0.3175	0.375	0.4675
b3546	0.6525	0.4875	0.53	0.9575
b3547	1.175	1.37	0.435	0.9975
b3548	0.21	0.1875	0.235	0.3525
b3549	0.54	0.48	0.44	0.585
b3550	0.67	0.6575	0.825	0.7975
b3551	0.79	0.9125	1.05	1.165
b3552	2.4775	3.4725	3.425	2.885
b3553	1.255	1.1775	1.49	1.945
b3554	0.785	0.93	0.985	0.83
b3555	0.2225	0.0975	0.115	0.325
b3556	3.4375	2.8625	3.7	4.415
b3557	1.1575	0.29	1.08	1.0375
b3558	1.4925	2.2025	3.135	2.815
b3559	0.8825	0.78	1.115	1.4
b3560	1.08	1.32	1.345	1.09
b3561	1.165	1.41	1.26	1.4475
b3562	1.43	1.185	1.33	2.6575
b3563	0.0025	0.0025	0	0.2375
b3564	0.5925	0.6825	0.795	0.7025
b3565	0.68	0.425	0.31	0.4825
b3566	0.3125	0.155	0.18	0.2
b3567	0.1525	0	0	0.005
b3568	1.27	1.0325	1.125	2.28
b3569	0.8375	0.7375	0.84	1.315
b3570	0.8025	0.755	0.78	0.5825
b3571	8.35	0.89	0.505	0.4275
b3572	0.9225	1.0825	1.13	1.2725
b3573	1.155	1.185	1.395	1.7775
b3574	1.9825	2.4	1.8	1.2325
b3575	0.46	0.0025	0.225	0.1475
b3576	0.125	0.0025	0	0.0025
b3577	0.105	0.0475	0.005	0.095
b0221	0.2025	0.0725	0.095	0.135
b0222	0.76	0.7875	0.8	1.065
b0223	0.7875	0.96	0.995	1.1275
b0224	0.825	0.675	1.015	1.1125
b0225	2.345	2.9375	2.48	1.95
b0226	1.0125	1.65	1.27	1.4175
b0227	1.7725	1.04	2.135	2.8875
b0228	0.86	0.8325	0.8	0.975
b0229	0.2	0.195	0.37	0.345
b0230	0.815	0.8775	0.465	0.8425
b0231	1.6675	2.735	2.265	1.4675
b0232	0.9475	1.2375	1.145	1.4625
b0233	1.7975	1.7925	2.155	2.795
b0234	1.4675	1.77	1.56	2.145
b0235	0.9625	0.96	1.03	1.2975
b0236	1.5075	2.575	1.87	1.6775
b0237	0.865	0.7125	0.755	0.69
b0238	1.875	2.435	2.525	1.385
b0239	1.4375	1.6175	1.3	1.3375
b0240	0.6075	0.82	1.03	0.9375
b0241	0.9175	1.19	1.335	1.4875
b0242	1.0275	0.9975	1.125	1.0425
b0243	0.8625	0.6875	0.805	1.04
b0245	1.465	0.495	0.41	1.515
b0246	1.0725	1.4875	0.61	1.1
b0247	0	0	0	0.725
b0248	1.6675	3.67	1.285	1.4425
b0249	1.515	0.685	0	0.65
b0250	0.6325	0.445	0.49	0.45
b0251	1.1025	1.465	1.56	1
b0252	0.55	0.4225	0.395	0.445
b0253	0.605	0.6325	0.585	0.5025
b0254	1.5325	1.67	1.91	1.1875
b0255	1.23	1.3825	1.535	1.6575
b0256	1.45	1.75	2.07	2.1625
b4587	0.9625	0.92	1	1.14
b0258	1.545	0.1525	0	1.0775
b0260	12.0425	6.61	4.405	3.255
b0261	3.935	2.7975	1.7	1.6175
b0262	1.4025	1.345	2.25	1.7775
b0263	1.24	1.405	1.095	2.08
b0265	1.0675	0.9375	1.175	1.43
b0266	0.855	0.75	0.8	0.9025
b0267	0.69	0	0	0.35
b0268	0.2	0.2275	0.175	0.3225
b0269	0.3925	0.31	0.36	0.4
b0270	0.5625	0.5225	0.715	0.375
b0271	1.09	0.7975	0.65	0.595
b0272	7.5175	3.8675	1.82	2.015
b0273	18.27	6.3025	1.6	3.4575
b0276	1.165	0.8525	0.94	1.4975
b0277	1.35	1.0275	0.61	1.0775
b0278	1.1175	0.895	1.28	1.935
b0279	0.3	0	0.58	1.4775
b0280	1.015	0.8525	0.97	1.195
b0281	1.2525	1.375	1.445	2.02
b0282	1.5925	1.4975	2.125	2.1
b0283	0.67	0.46	0.315	0.36
b0284	0.635	0.5775	0.565	0.535
b0285	0.3625	0.19	0.705	0.43
b0286	0.42	0.2375	0.17	0.5
b0287	0.82	0.81	1.255	2.005
b0288	2.005	2.8675	2.99	2.0075
b0289	1.045	0.9225	1.025	1.36
b0290	0.935	0.495	0	0.7775
b0291	1.2175	0.8375	0.34	1.24
b0292	1.5025	2.855	1.55	1.265
b0293	1.0525	1.88	1.165	2.0775
b0294	1.9025	4.445	3.1	1.89
b0295	1.5375	1.4625	1.985	3.245
b0296	1.835	1.335	1.8	3.4075
b0297	1.615	3.56	2.1	1.2675
b0298	1.47	1.59	1.51	1.48
b0299	1.435	2.3775	2.35	1.6925
b0300	0.57	0.2725	0	0.0025
b0301	1.705	2.125	3.205	0.9775
b0302	1.19	0.3575	0.795	1.4
b0303	0.45	0.3175	0.32	1.7825
b0304	1.1575	0.5775	1.025	2.245
b0305	0.35	0.0025	0	0.3725
b0306	0.7775	1.4	0.955	0.55
b0307	0.2825	0.205	0.115	0.3275
b0308	0.64	0.545	0.5	0.485
b0309	0	0.265	0	0
b0310	0.2075	0	0	0.625
b0311	2.4925	3.75	5.38	3.0975
b0312	1.2075	1.2575	2.1	2.3825
b0313	1.445	1.495	2.24	2.08
b0314	0.96	1.1525	1.435	1.465
b0315	2.0625	1.8625	1.99	2.43
b0316	0.5575	0.3125	0.265	0.555
b0317	0.635	0.7575	0.695	0.8675
b0318	0.68	0.3425	0.145	0.575
b0319	0.6775	1.1	0	0.6525
b0320	1.2075	1.5175	1.38	0.755
b0321	1.56	2.1525	1.66	1.0125
b0322	1.305	1.7375	1.975	1.9125
b0323	0.6575	0.685	0.64	0.6075
b0324	1.325	1.64	1.435	1.5275
b0325	0.42	0.145	0.17	0.3375
b0326	1.53	1.38	1.355	2.235
b0327	2.02	5.6325	6.365	4.4
b0328	0.055	0.0475	0.015	0.0825
b0329	0.5525	0.3625	0.135	0.1975
b0330	0.37	0.3625	0.325	0.485
b0331	0.64	0.2225	0.185	0.1875
b0332	1.315	1.4	1.345	0.765
b0333	0.655	0.11	0.005	0.0475
b0334	0.685	0.2575	0.1	0.105
b0335	0.5325	0.175	0.155	0.1675
b0336	8.2175	20.3	14.15	2.88
b0337	4.8575	16.155	8.955	2.3675
b0338	2.11	1.645	1.79	1.4875
b0339	2.5925	2.1825	1.41	1.2125
b0340	1.37	1.455	1.03	0.9675
b0341	1.9575	2.12	2.07	1.2575
b0342	0.5975	0.44	0.465	0.005
b0343	0.5975	0.5	0.605	0.59
b0344	0.7475	0.42	0.43	0.6825
b0345	0.82	1.1	0.74	0.73
b0346	0.0575	0.07	0.13	0.1725
b0347	0.555	0.8925	0.83	0.6225
b0348	0.2725	0.0775	0.005	0.3025
b0349	1.0275	1.1075	1.28	1.15
b0350	0.6225	0.475	0.31	0.8925
b0351	0.94	1.045	1.035	1.1175
b0352	0.76	0.82	0.8	1.18
b3951	0.295	0.0825	0.425	0.2475
b3952	1.05	1.575	1.34	0.9775
b3953	1.025	0.9775	1.225	0.7275
b3954	1.055	1.1625	0.975	0.8925
b3955	1.575	1.945	1.785	1.9225
b3956	1.08	0.54	0.69	1.1725
b3957	5.81	2.2475	1.215	1.99
b3958	14.4275	3.785	1.92	3.7775
b3959	8.5975	3.66	1.975	3.09
b3960	10.55	5.1875	2.665	4.5475
b3961	1.35	1.605	1.445	1.235
b3962	0.7625	0.945	1.05	0.695
b3963	0.2975	0.2325	0.22	0.3625
b3964	0.4125	0.3225	0.335	0.5275
b3965	1.305	1.5575	1.465	1.4825
b3966	0.955	1.025	1.155	1.3825
b3967	1.1575	1.8525	1.065	1.1425
b3972	1.865	2.59	3.08	2.07
b3973	1.3475	1.6625	1.835	2.185
b3974	0.825	0.675	0.95	1.26
b3975	1.0875	0.8075	0.605	0.8475
b3980	0.685	1.2725	0.755	0.7975
b3981	1.0475	1.3825	1.08	1.3325
b3982	1.0725	1.31	1.34	1.86
b3983	1.3775	1.53	1.31	1.55
b3984	1.9125	2.5425	2.2	1.8825
b3985	1.345	1.7225	1.755	1.96
b3986	1.1675	1.28	1.295	1.0375
b3987	1.22	1.66	1.84	1.445
b3988	1.05	1.1475	1.005	1.355
b3989	1.865	1.6025	2.495	4.15
b3990	0.8475	0.6125	0.86	1.3075
b3991	0.755	0.5325	0.835	1.1375
b3992	0.675	0.45	0.725	1.015
b3993	0.6475	0.5475	0.785	0.985
b3994	0.68	0.6825	0.91	0.9225
b3995	0.2375	0.2175	0.27	0.455
b3996	0.865	1.0425	1.02	1.2325
b3997	1.23	1.4225	1.495	1.3675
b3998	0.755	0.8075	0.75	0.82
b3999	1.795	2.1625	2.14	1.9525
b4000	0.5325	0.345	0.485	0.6325
b4001	1.1975	0.99	1.575	2.55
b4002	1.305	2.9425	1.67	1.1975
b4003	0.62	0.5575	0.47	0.69
b4004	1.145	1.2275	1.295	1.5
b4005	2.41	3.2775	3.21	2.8825
b4006	2.5625	3.825	3.21	2.0825
b4011	1.81	3.0525	4.475	3.8825
b4012	1.235	2.6475	1.77	0.96
b4013	2.305	1.555	1.17	1.565
b4014	0.5725	0.745	0.56	0.515
b4015	0.5325	0.2275	0.275	0.27
b4016	0.76	0.5175	0.545	0.7425
b4017	0.8725	0.2975	0.305	1.8975
b4018	1.3125	1.8075	1.045	1.2475
b4019	0.645	0.435	0.77	1.02
b4020	0.725	0.8525	0.995	1.24
b4021	0.27	0.12	0.035	0.14
b4022	0.975	1.1875	1.305	1.5775
b4023	0.9925	0.9275	1.175	2.1575
b4024	0.7275	1.2325	2.125	4.1975
b4025	1.015	0.7525	0.895	1.4
b4026	1.205	1.415	1.47	1.41
b4027	0.855	0.8125	1.01	1.4625
b4028	1.2175	2.4925	1.68	1.2025
b4029	0.3925	0.385	0.46	0.48
b4030	23.135	14.255	13.765	9.4075
b4031	1.08	0.8275	0.685	0.775
b4032	0.5725	0.57	0.35	0.1875
b4033	0.2675	0.0375	0.025	0.025
b4034	0.38	0.0825	0.02	0.0175
b4035	0.23	0.0175	0.01	0.005
b4036	0.41	0.045	0.015	0.0175
b4037	0.71	0.09	0.055	0.0275
b4038	0.485	0.485	0.95	1.6275
b4039	0.46	0.7125	0.72	0.52
b4040	0.4525	0.435	0.515	0.875
b4041	0.8975	1	0.785	0.625
b4042	1.0025	1.035	1.1	1.075
b4043	1.8075	1.535	1.62	1.7375
b4044	1.6525	1.83	1.945	1.725
b4045	0.785	0.535	0.66	0.815
b4046	1.3525	1.5225	1.215	1.2375
b4047	0.27	0	0	0.55
b4048	0.875	0.78	0.36	1.6625
b4049	2.1175	2.355	2.35	1.6525
b4050	2.1175	1.61	1.605	1.17
b4051	0.5375	0.4325	0.42	0.4875
b4052	2.0975	3.28	3.265	2.035
b4053	2.29	3.125	3.47	3.1025
b4054	0.915	0.6075	0.81	1.2725
b4055	0.26	0.24	0.235	0.3025
b4056	1.0675	1.0525	0.745	0.6425
b4057	0.9	0.5725	0.555	0.63
b4058	1.015	1.1525	1.05	0.845
b4059	0.6625	0.625	0.675	0.805
b4060	29.2425	32.64	29.585	12.635
b4061	0.5475	0.4625	0.215	0.6975
b4062	1.0025	0.8675	1.01	0.7425
b4063	0.845	1.0575	0.95	0.9175
b4064	2.1125	2.2575	2.38	1.755
b4065	1.255	0.8575	1.1	1.3875
b4066	1.1225	0.5125	0.89	1.655
b4067	0.2625	0.0175	0.015	0.0125
b4068	0.165	0.02	0.02	0.0175
b4069	0.2625	0.0325	0.01	0.025
b4070	0.9525	0.96	0	1.0725
b4071	1.08	2.2175	2.005	1.15
b4072	1.1225	0.7525	0.86	0.51
b4073	1.2575	1.125	0.775	1.2
b4074	1.255	0.74	1.275	1.6425
b4075	1.0825	1.39	0.995	1.115
b4076	0.99	0.605	1.095	1.255
b4077	1.905	2.6575	11.625	6.8625
b4078	1.2	1.3	1.235	1.2475
b4079	1.4625	1.355	1.51	1.3575
b1388	0.25	0.0925	0.005	0.1025
b1389	0.5675	0.1875	0.21	0.5125
b1390	0.52	0.11	0.07	0.25
b1391	0.28	0.09	0.01	0.22
b1392	0.4175	0.4475	0.25	0.48
b1393	0.8875	0.665	0.35	0.4425
b1394	0.4025	0	0	0.305
b1395	0.8175	2.2	3.07	0.955
b1396	0.8425	0.6475	0.605	0.6475
b1397	0.055	0.05	0.08	0.135
b1398	0.1525	0.0775	0.045	0.105
b1399	0.55	0.5775	0.595	0.585
b1400	0.58	0.475	0.5	0.4575
b1401	1.1275	1.34	1.34	1.1275
b1405	1.475	1.7975	1.62	1.37
b1406	0.2825	0.1325	0.155	0.1775
b1407	0	0.2625	0	0
b1408	1.1125	0.2925	0	0.65
b1409	1.535	0.6775	0.005	0.805
b1410	1.3625	1.0625	1.18	1.07
b1411	1.0675	0.9525	0.965	1.1275
b1412	0.8675	0.765	0.59	0.785
b1413	1.5275	1.4325	1.535	1.9825
b1414	0.8575	0.835	0.865	1.3525
b1415	0.0475	0.0175	0.015	0.03
b4493	3.7975	4.255	4.345	4.2
b4493	1.2175	1.0625	1.275	1.27
b1418	1.8325	2.105	2.705	1.795
b1419	0.4	0.215	0.295	0.415
b1420	0.61	0.605	0.505	0.2675
b1421	0.5725	0.785	0.71	0.485
b1422	0.1825	0.16	0.265	0.4
b1423	0.0825	0.0575	0.06	0.0825
b1424	0.8375	0.68	0.745	0.91
b1425	0.41	0.2075	0.96	0.64
b1426	0.41	0.1625	0.065	0.05
b1427	0.6825	0.68	0.705	0.82
b1428	0.7175	0.7275	0.72	0.6275
b1429	1.3125	1.19	1.47	1.75
b1430	1.2375	1.11	1.14	1.355
b1431	0.5025	0.2625	0.285	0.415
b1432	1.585	2.255	1.945	1.0825
b1433	1.1275	0.925	1.395	0.67
b1434	3.2325	7.61	5.34	1.355
b1435	2.0275	3.29	2.2	1.7125
b1436	1.2825	2.005	1.995	1.465
b1437	0.5725	0.69	0	0.305
b1438	1.21	0.9875	0.77	1.0425
b1439	1.18	1.7125	1.665	1.2925
b1440	0.0625	0.0475	0.05	0.0225
b1441	0.0325	0.0325	0.035	0.035
b1442	0.1725	0.18	0.215	0.1975
b1443	0.0625	0.04	0.02	0.025
b1444	0.47	0.1825	0.075	0.05
b1445	6.415	9.0025	6.88	3.81
b1446	0.8475	0.8675	1.005	1.18
b1447	1.1325	0.9575	1.505	2.06
b1448	0.65	0.5325	0.8	1.0225
b1449	0.3575	0.2975	0.305	0.3825
b1450	0.5025	0.375	0.18	0.6175
b1451	1.67	3.27	4.58	2.7825
b1452	1.0075	2.05	1.125	1.1475
b1453	1.535	3.25	3.185	1.63
b1454	0.3425	0.3225	0.64	0.35
b1455	0.5625	0.36	0.775	0.165
b1456	1.815	3.3325	4.075	2.8175
b1457	1.315	1.4325	1.68	1.7775
b1458	1.0175	2.2375	1.855	1.055
b1459	1.2	2.145	1.545	1.2375
b1460	1.335	0.8725	1.09	2.3675
b1461	1.065	0.8575	0.82	1.3875
b1462	0.7875	0.7225	0.905	0.6375
b1463	0.7175	0.66	0.63	0.705
b1464	1.5525	1.7475	2.255	1.65
b1465	1.0425	0.6525	0.655	0.6325
b1466	0.675	1.09	0.57	0.295
b1467	0.7725	0.4025	0.405	0.3925
b1468	0.4875	0.2925	0.045	0.2325
b1469	0.4025	0.21	0.07	0.3275
b1470	1.9375	0	0.535	0.8275
b1471	0.28	0	0	0
b1472	1.15	0.715	0	0.365
b1473	1.4325	1.195	1.31	2.1925
b1474	1.515	1.9625	2.28	1.0925
b1475	0.9425	0.6	0.5	0.425
b1476	1.61	1.67	1.98	2.1
b1477	1.375	1.0025	0.905	1.23
b1478	0.725	0.405	0.215	0.175
b1479	1.3125	1.51	1.135	1.175
b1481	0.795	0.59	0.66	0.64
b1482	0.4	0.2175	0.13	0.1575
b1483	0.2675	0.1675	0.07	0.19
b1484	0.24	0.2275	0.205	0.18
b1485	0.255	0.195	0.185	0.2375
b1486	0.2975	0.2725	0.28	0.305
b1487	0.225	0.1	0.02	0.1275
b1488	0.065	0.0475	0.065	0.0625
b1489	0.505	0.315	0.065	0.4025
b1490	0.74	0.485	0.415	0.5825
b1491	1.3575	1.4675	1.405	1.3375
b1492	0.3425	0.145	0.11	0.14
b1493	0.3375	0.135	0.075	0.1375
b1494	1.42	1.54	0.79	2.13
b1495	1.6325	1.0475	0.565	1.36
b1496	4.3825	6.3175	3.545	2.6525
b1497	1.485	0.995	0.91	1.3
b1498	1.2225	0.795	0.225	0.425
b1499	1.0025	1.24	1.21	1.49
b1500	1.53	0	0.035	0.3125
b1501	0.82	0.73	0.995	1.0775
b1502	0.845	0.17	0.525	0.9575
b1503	1.24	1.13	0.79	1.3625
b1504	0	0.005	0	0
b1505	1.2925	2.5975	2.67	1.465
b1506	0.7175	0.2775	0.665	0.765
b1507	1.0725	1.395	1.68	1.465
b1508	1.43	1.34	1.225	1.7225
b1509	1.36	1.375	1.705	1.735
b1510	1.0525	1.5275	1.615	1
b0615	0.32	0.2925	0.57	0.5325
b0616	0	0.0025	0	0
b0617	0.4025	0	0.235	0
b0618	0	0	0	0
b0619	1.6025	4.54	4.605	1.3075
b0620	1.1225	1.3975	1.2	1.13
b0621	0.84	0.4175	0.53	0.4625
b0622	1.1075	0.7975	0.475	1.335
b0623	0.395	0.2475	0.38	0.5675
b0624	1.465	2.3925	2.485	1.7275
b4581	0.4575	0.3875	0.365	0.38
b0626	0.5725	0.445	0.42	0.475
b0627	1.1475	1.4175	1.285	1.1175
b0628	0.86	0.9475	0.94	0.59
b0629	0.66	0.6175	0.065	0.8725
b0630	2.2275	3.0525	3.755	3.4525
b0631	0.84	0.4725	0.535	0.9125
b0632	1.8	1.885	2.18	1.52
b0633	1.51	1.9975	1.685	1.5475
b0634	2.0475	3.12	3.425	1.9725
b0635	3.545	3.7225	3.7	3.6825
b0636	2.665	3.6175	2.725	2.1325
b0637	2.045	3.5475	2.205	1.525
b0638	2.0475	1.7175	2.08	1.9225
b0639	1.5725	1.5425	1.79	1.505
b0640	1.075	0.9425	0.9	0.8725
b0641	1.0225	0.8675	0.74	0.8525
b0642	0.9775	1.225	1.315	1.17
b0643	0.18	0.16	0.16	0.1725
b0644	0.87	0.5575	0.445	1.185
b0645	0.6975	0.8825	0.6	1.4425
b0646	1.4125	1.6475	1.43	1.395
b0647	0.5175	0	0.75	1.3875
b0648	0	0	0	0.275
b0649	1.71	0.8275	0.61	1.4025
b0650	1.235	1.745	1.68	1.33
b0651	0.32	0.395	0.305	0.3375
b0652	0.5625	0.5075	0.585	0.7475
b0653	0.595	0.48	0.575	0.7675
b0654	0.8675	0.9175	1.335	1.19
b0655	0.5225	0.3175	0.415	0.41
b0657	1.27	0.9325	1.06	1.19
b0658	1.35	1.2275	1.325	1.1475
b0659	0.735	0.865	0.82	0.81
b0660	0.99	0.8875	0.63	0.67
b0661	1.4125	1.785	2.035	1.895
b0662	1.0625	1.035	1.18	1.27
b0663	2.295	1.7725	2.69	9.17
b0671	2.715	3.405	3.59	4.985
b0674	1.605	0.8925	1.095	1.4075
b0675	1.15	1.1425	1.29	1.075
b0676	1.42	1.395	1.09	1.1375
b0677	1.4675	1.585	1.91	1.8625
b0678	0.5575	0.38	0.25	0.4425
b0679	0.5075	0.495	0.515	0.4075
b0680	1.47	1.7375	1.52	1.3775
b0681	1.4125	1.6825	1.46	1.6075
b0682	1.3425	2.015	1.495	1.2325
b0683	0.7675	0.945	0.86	1.1025
b0684	1.4175	1.3675	1.39	1.635
b0685	2.3425	4.275	4.06	3.0725
b0686	1.4125	1.8725	2.085	1.2725
b0687	0.9325	0.61	0.82	1.3025
b0688	0.6525	0.56	0.695	0.775
b0689	1.36	1.5825	1.8	2.005
b0690	1.6925	2.15	1.945	2.7925
b0691	0.665	0.2575	0	0
b0692	1.2525	1.235	1.56	1.6725
b0693	0.665	0.21	0.53	0.2325
b0694	1.2375	1.795	1.54	1.45
b0695	1.05	1.375	1.56	0.8675
b0696	2.795	4.0525	6.775	1.6675
b0697	2.4925	3.385	3.255	1.7775
b0698	1.8025	2.445	2.065	1.5175
b0699	9.965	10	10.64	9.7975
b0700	0.84	1.05	0.995	1.0125
b0701	1.045	1.6275	1.24	0.7475
b0702	2.6475	5.9725	6.795	1.9975
b0703	1.04	1.3325	1.255	1.615
b0704	1.3475	1.75	2.525	2.1075
b0705	1.475	2.115	1.795	1.6025
b0706	1.2025	1.6425	1.33	1.185
b0707	0.2725	0.48	0.28	0.3475
b0708	0.905	0.9175	1.125	0.8925
b0709	6.3625	3.1625	1.915	3.4325
b0710	0.6825	0.63	0.825	0.8025
b0711	0.86	0.72	0.855	0.81
b0712	0.815	0.735	0.84	0.77
b0713	0.9275	0.71	0.82	0.8775
b0714	2.1225	2.105	2.405	2.845
b0715	2.38	1.445	1.35	2.055
b0716	1.0225	0.2775	0.735	0.01
b0717	1.09	1.1675	1.775	1.02
b0718	0.5275	0	0.735	0.83
b0719	1.4325	3.05	1.83	1.4175
b0720	0.485	0.1825	0.295	0.7525
b0721	0.075	0.0675	0.11	0.2725
b0722	0.0575	0.055	0.09	0.2725
b0723	0.1025	0.07	0.14	0.4275
b0724	0.1725	0.095	0.165	0.4375
b0725	0.2	0.15	0.34	0.9
b0726	0.3275	0.09	0.135	0.3075
b0727	0.7925	0.1725	0.21	0.5125
b0728	0.7125	0.105	0.15	0.275
b0729	0.7475	0.085	0.12	0.295
b0730	1.5225	1.8975	1.87	1.9875
b0731	0.4525	0.195	0.55	0.235
b0732	0.915	1.07	0.915	0.8475
b0733	1.515	1.46	0.83	0.4825
b0734	1.0475	1.335	0.77	0.525
b0735	1.41	2.0025	1.685	1.1375
b0736	1.26	1.2225	1.125	1.21
b0737	1.32	1.64	1.37	1.3725
b0738	1.065	1.5675	1.525	1.295
b0739	1.325	1.655	2.015	2.2675
b0740	0.95	1.2325	1.36	1.1325
b0741	1.06	1.385	1.02	1.09
b0742	1.3475	2.03	2.275	1.7075
b0750	1.0125	0.9875	1.16	1.025
b0751	0.705	0.69	1.07	1.1275
b0752	0.6725	0.515	0.72	0.865
b0753	0.64	0.3325	0.325	0.37
b0754	2.0275	1.595	2.28	2.1575
b0018	0.6925	0.7625	0.81	0.7325
b0034	3.815	8.135	6.125	3.7125
